f_date,f_time,addr,zip,boro,lat,long
2022-04-20,16:34:00,East 125 street and Park ave,10035,Manhattan,40.805057,-73.939034
2022-04-20,21:05:00,638 39th St,11232,Brooklyn,40.649133,-74.000924
2022-04-21,3:59:00,374 EAST9 STREET,11218,Brooklyn,40.6395088,-73.9723011
2022-04-21,6:23:00,286 FORT WASHINGTON AVENUE,10032,Manhattan,40.844841,-73.940557
2022-04-26,1:30:00,422 Jerome St,11207,Brooklyn,40.671319,-73.886369
2022-04-26,4:13:00,169-04 88th Ave,11432,Queens,40.709943,-73.79242
2022-04-29,14:03:00,825 44th St,11220,Brooklyn,40.644138,-73.999417
2022-05-02,7:07:00,5401 7th Ave,11220,Brooklyn,40.640041,-74.008194
2022-05-06,3:52:00,300 E 33rd St,10016,Manhattan,40.743343,-73.975873
2022-05-06,9:36:00,36-13 109th St,11368,Queens,40.754451,-73.858573
2022-05-06,11:01:00,218-44 140 Ave,11413,Queens,40.671863,-73.754917
2022-05-08,11:18:00,969 43 STREET,11219,Brooklyn,40.64263,-73.995446
2022-05-08,14:44:00,408 59 STREET,11220,Brooklyn,40.641198,-74.017621
2022-05-09,13:24:00,3 Pike St,10002,Manhattan,40.714113,-73.992381
2022-05-09,13:32:00,95-55 110 STREET,11419,Queens,40.689173,-73.834266
2022-05-09,13:51:00,30-05 41 STREET,11103,Queens,40.761884,-73.911642
2022-05-10,8:27:00,32-40 54 STREET,11377,Queens,40.754252,-73.907021
2022-05-14,19:00:00,94-16 54th Ave,11373,Queens,40.738538,-73.86778
2022-05-15,14:29:00,326 AUDUBON AVENUE,10033,Manhattan,40.848931,-73.932372
2022-05-16,0:04:00,35-27 81st St,11372,Queens,40.750814,-73.885325
2022-05-16,22:05:00,29 Brighton 5th Ln,11235,Brooklyn,40.580169,-73.963351
2022-05-18,6:58:00,120 Menahan St,11221,Brooklyn,40.695261,-73.919641
2022-05-18,18:46:00,80-41 259 STREET,11004,Queens,40.743538,-73.711402
2022-05-22,14:30:00,14 E 28th St,10016,Manhattan,40.744246,-73.986482
2022-05-23,7:11:00,100 LINDEN STREET,11221,Brooklyn,40.692877,-73.919761
2022-05-24,18:55:00,3408 Church Ave,11203,Brooklyn,40.650903,-73.945352
2022-05-25,5:53:00,350 Madison St,10002,Manhattan,40.71311,-73.982398
2022-05-25,19:56:00,West 161 St and Broadway,10032,Manhattan,40.836557,-73.943052
2022-05-27,7:17:00,2205 Davidson Ave,10453,Bronx,40.857709,-73.905609
2022-05-29,3:02:00,902 Cortelyou Rd,11218,Brooklyn,40.638789,-73.969643
2022-05-30,13:12:00,58-65 52nd Rd,11377,Queens,40.734463,-73.90737
2022-06-01,7:31:00,589 E 93rd St,11236,Brooklyn,40.653086,-73.916332
2022-06-01,19:44:00,71 W 23rd St,10010,Manhattan,40.74287,-73.992333
2022-06-03,7:28:00,2371 EXTERIOR STREET,10468,Bronx,40.865129,-73.910818
2022-06-05,4:43:00,2114 5th Ave,10027,Manhattan,40.8094759,-73.9448296
2022-06-06,11:16:00,100 W 105th St,10025,Manhattan,40.798614,-73.963744
2022-06-08,9:10:00,134 MORGAN AVENUE,11237,Brooklyn,40.708899,-73.932677
2022-06-11,8:31:00,134-34 Franklin Ave,11355,Queens,40.753813,-73.828643
2022-06-13,16:03:00,145-33 WILLETS POINT BOULEVARD,11357,Queens,40.776959,-73.82297
2022-06-15,13:11:00,59 street and 12 ave,10019,Manhattan,40.765926,-73.985443
2022-06-18,11:10:00,725 11th Ave,10019,Manhattan,40.7668,-73.994186
2022-06-20,8:06:00,39 Post Ave,10034,Manhattan,40.863168,-73.923846
2022-06-20,12:01:00,33-34 71st St,11372,Queens,40.753442,-73.895574
2022-06-20,16:33:00,E 167 ST and SOUTHERN BLVD,10459,Bronx,40.826794,-73.891913
2022-06-23,10:54:00,east 135 street and cypress ave,10454,Bronx,40.803713,-73.915868
2022-06-27,15:35:00,108-30 38 AVENUE,11368,Queens,40.75258,-73.858354
2022-07-01,6:02:00,187 HARMAN STREET,11221,Brooklyn,40.697739,-73.921253
2022-07-01,12:37:00,99-12 ALSTYNE AVENUE,11368,Queens,40.743522,-73.862478
2022-07-01,14:47:00,34-24 32nd St,11106,Queens,40.758682,-73.927127
2022-07-02,11:19:00,671 EAST52 STREET,11203,Brooklyn,40.643908,-73.927447
2022-07-02,13:05:00,30-51 12 STREET,11102,Queens,40.770155,-73.932156
2022-07-04,9:46:00,225 Cross Bronx Expy,10457,Bronx,40.845277,-73.907827
2022-07-05,1:08:00,Troutman St. and Irving Ave,11237,Brooklyn,40.704825,-73.924585
2022-07-05,3:14:00,1181 Bushwick Ave,11221,Brooklyn,40.688738,-73.91644
2022-07-06,14:56:00,1535 WALTON AVENUE,10452,Bronx,40.842672,-73.913995
2022-07-10,18:00:00,23-25 30th Dr,11102,Queens,40.767341,-73.926916
2022-07-10,22:40:00,47 Featherbed Ln,10453,Bronx,40.8461469,-73.9178869
2022-07-11,7:08:00,441 Beach 51st St,11691,Queens,40.596744,-73.782123
