Year,Date,Time,Address,Borough,zip,Latitude,Longitude
2021,2021-12-09,22:24:00,"41-12 JUNCTION BOULEVARD,QUEENS,NY 11368",Queens,11368,40.747139,-73.868607
2021,2021-12-11,5:13:00,"41-18 JUNCTION BOULEVARD,QUEENS,NY 11368",Queens,11368,40.746975,-73.868572
2021,2021-12-12,15:17:00,"36-03 30 AVENUE,QUEENS,NY 11103",Queens,11103,40.7651045,-73.9215848
2021,2021-12-13,12:48:00,"110 5 AVENUE,MANHATTAN,NY 10011",Manhattan,10011,40.737582,-73.992701
2021,2021-12-16,7:08:00,"118 AVENUE D,MANHATTAN,NY 10009",Manhattan,10009,40.723821,-73.975409
2021,2021-12-18,16:22:00,"1597 Gates Ave, Brooklyn, NY 11237",Brooklyn,11237,40.700743,-73.911155
2021,2021-12-19,21:35:00,"1211 AVENUE OF AMERICAS,MANHATTAN,NY 10036",Manhattan,10036,40.75953,-73.989847
2021,2021-12-22,9:49:00,"200 Rosedale Ave, Staten Island, NY 10312",Staten Island,10312,40.547996,-74.195561
2021,2021-12-24,20:19:00,"443 WEST25 STREET,MANHATTAN,NY 10001",Manhattan,10001,40.748834,-74.002137
2021,2021-12-26,16:19:00,"997 Dekalb Ave, Brooklyn, NY 11221",Brooklyn,11221,40.693423,-73.935375
2021,2021-12-27,16:12:00,"159-38 HARLEM RIVER DRIVE WEST SR,MANHATTAN,NY 10039",Manhattan,10039,40.833167,-73.937474
2021,2021-12-27,18:58:00,"2720 GRAND CONCOURSE,BRONX,NY 10458",Bronx,10458,40.86723,-73.893534
2021,2021-12-29,4:38:00,"4240 BOSTON ROAD,BRONX,NY 10475",Bronx,10475,40.888064,-73.822876
2021,2021-12-29,22:03:00,"69-18 38 AVENUE,QUEENS,NY 11377",Queens,11377,40.746895,-73.895749
2021,2021-12-31,19:09:00,"6803 4th Ave, Brooklyn, NY 11220",Brooklyn,11220,40.63508,-74.023125
2022,2022-06-15,13:11:00,59 street and 12 ave Manhattan,Manhattan,10019,40.7715825,-73.9929292
2022,2022-12-24,21:03:00,"Terminal 5, 6 Central Terminal Area, Jamaica, NY 11430, USA",Queens,11430,40.6457194,-73.78026
